tta_condition,d_condition,is_turn_decision,RT,subj_id
2.0,60.0,0.00041466096807569715,0.5927097891123018,129
2.0,70.0,0.0006609507457351598,0.6006079591799192,129
2.0,80.0,0.001046467979597788,0.6088090828205974,129
2.0,90.0,0.0016444449078928188,0.617280147411175,129
2.0,100.0,0.0025625727255491992,0.6259791404062554,129
2.0,110.0,0.0039563491181415595,0.6348515951822383,129
2.0,120.0,0.006045707085324056,0.6438317983834244,129
2.0,130.0,0.009134487263823625,0.6528424247611768,129
2.0,140.0,0.01363135792335322,0.661794911122161,129
2.0,150.0,0.02006938883047197,0.6705904049792287,129
2.0,160.0,0.029119731285545798,0.6791205961663898,129
2.0,170.0,0.04159305967685297,0.6872690867293693,129
2.0,180.0,0.05842108488359218,0.6949128799494116,129
2.5,60.0,0.0010307483172723134,0.6137921920239583,129
2.5,70.0,0.0016389407379677691,0.6234917627537863,129
2.5,80.0,0.002585894203850277,0.633590405886524,129
2.5,90.0,0.0040444299183325675,0.6440364859272799,129
2.5,100.0,0.006263604889239127,0.6547601418998266,129
2.5,110.0,0.009593899592876452,0.6656722127867797,129
2.5,120.0,0.014515071389029594,0.6766631003793054,129
2.5,130.0,0.02166301108222096,0.6876038056233011,129
2.5,140.0,0.031849154523702405,0.6983461326244059,129
2.5,150.0,0.04606300702164336,0.7087243730638243,129
2.5,160.0,0.06544588975579005,0.7185575209083401,129
2.5,170.0,0.09122360779445803,0.7276517039486441,129
2.5,180.0,0.12458913399627519,0.7358033445484846,129
3.0,60.0,0.002514403483797492,0.6383884181751124,129
3.0,70.0,0.003972860911669168,0.6500991481272341,129
3.0,80.0,0.006219092728514277,0.6622680425293394,129
3.0,90.0,0.009632652021883945,0.6748046824141045,129
3.0,100.0,0.014741742145261064,0.6875884087365884,129
3.0,110.0,0.022257693845385715,0.7004682562913912,129
3.0,120.0,0.033101552468849625,0.7132622991591884,129
3.0,130.0,0.04841035139474365,0.7257589505328735,129
3.0,140.0,0.06950665032692561,0.7377189610818774,129
3.0,150.0,0.09781368038199023,0.7488789610324803,129
3.0,160.0,0.13470272531097743,0.7589561237181358,129
3.0,170.0,0.18127177298902772,0.767653497896882,129
3.0,180.0,0.2380756636720012,0.7746669224154312,129
3.5,60.0,0.00601162483195179,0.6673005810740403,129
3.5,70.0,0.009399059925890062,0.681207405927765,129
3.5,80.0,0.01452618295679095,0.6955474733542056,129
3.5,90.0,0.02215538803481138,0.7101578927173939,129
3.5,100.0,0.0332889093781186,0.724831435224734,129
3.5,110.0,0.04918152460549479,0.7393170623442087,129
3.5,120.0,0.07131025546695205,0.7533212021602054,129
3.5,130.0,0.10127739898131778,0.7665111488130439,129
3.5,140.0,0.1406277408526232,0.7785214119518007,129
3.5,150.0,0.19057665342868377,0.7889611681956246,129
3.5,160.0,0.25167491126255187,0.7974245489724396,129
3.5,170.0,0.32347334043969567,0.8035038579921225,129
3.5,180.0,0.40428319144158525,0.8068067253049809,129
4.0,60.0,0.014019363916238725,0.7011945360221161,129
4.0,70.0,0.021575289201040546,0.7173293939903962,129
4.0,80.0,0.032719376402525036,0.7337036709131367,129
4.0,90.0,0.048796058602313896,0.7500359009933872,129
4.0,100.0,0.07141073604071621,0.7659842818541606,129
4.0,110.0,0.10232706792576801,0.7811506304346694,129
4.0,120.0,0.1432609462087652,0.7950864560107538,129
4.0,130.0,0.1955635170296953,0.8073035914366145,129
4.0,140.0,0.2598221543577347,0.8172874217476663,129
4.0,150.0,0.3354581959585625,0.8245152508213038,129
4.0,160.0,0.4204454312013532,0.8284813723384499,129
4.0,170.0,0.5112865378382121,0.8287308048433935,129
4.0,180.0,0.6033411627981088,0.8249040353149139,129
4.5,60.0,0.031623482504889125,0.740352378262551,129
4.5,70.0,0.04757547750254108,0.7583791897923424,129
4.5,80.0,0.07024101681676033,0.7761576433337681,129
4.5,90.0,0.10152644529697205,0.7932292283828177,129
4.5,100.0,0.1433153461264242,0.80906635445108,129
4.5,110.0,0.19711370359147565,0.8230823361695633,129
4.5,120.0,0.2635903299828719,0.8346483890191053,129
4.5,130.0,0.34210454666773044,0.8431184442194694,129
4.5,140.0,0.430373295489192,0.8478630970197423,129
4.5,150.0,0.5244504282148439,0.8483160711199812,129
4.5,160.0,0.6191358417376693,0.844035991801934,129
4.5,170.0,0.7087952827361144,0.8347834791014414,129
4.5,180.0,0.7883979787294291,0.820606803864292,129
5.0,60.0,0.06814050424028789,0.7841854775850202,129
5.0,70.0,0.09932398361031416,0.8030753932266783,129
5.0,80.0,0.1413620363869905,0.8207720413303841,129
5.0,90.0,0.1959314211892937,0.8365908207057524,129
5.0,100.0,0.26382613884741174,0.8497858276301752,129
5.0,110.0,0.3444129900075743,0.8595810929612736,129
5.0,120.0,0.4352367459943561,0.8652150280858588,129
5.0,130.0,0.5319863062041389,0.8660018720685904,129
5.0,140.0,0.6289697061109578,0.861413065109077,129
5.0,150.0,0.7200747776431177,0.8511773798740113,129
5.0,160.0,0.7999722172124958,0.8353890619577444,129
5.0,170.0,0.8651664432241108,0.8145977588110695,129
5.0,180.0,0.9145243869446726,0.7898378287915977,129
5.5,60.0,0.13786269856987815,0.8304483536185756,129
5.5,70.0,0.19258687484326978,0.8480555197450262,129
5.5,80.0,0.26120946377191595,0.8629091136674101,129
5.5,90.0,0.343172413842039,0.8740992021256628,129
5.5,100.0,0.4359343060633984,0.8807262809395855,129
5.5,110.0,0.5349050548917409,0.8819797198654479,129
5.5,120.0,0.6339670749264803,0.8772405087073203,129
5.5,130.0,0.7265631627789592,0.8662052776719605,129
5.5,140.0,0.8070606016991617,0.8490162736663558,129
5.5,150.0,0.8719166461970284,0.8263624607903728,129
5.5,160.0,0.9202118877595359,0.7994977717266049,129
5.5,170.0,0.953392871956089,0.7701230366095856,129
5.5,180.0,0.9744188807515031,0.7401197213183357,129
6.0,60.0,0.25629634700431747,0.8741876585572156,129
6.0,70.0,0.3390194949505699,0.8868301256317476,129
6.0,80.0,0.43317497395205623,0.8945490265427793,129
6.0,90.0,0.5339817537625239,0.8964060323068094,129
6.0,100.0,0.6349638328794536,0.8916895026051607,129
6.0,110.0,0.7291471679720403,0.8800618748829195,129
6.0,120.0,0.8105786838510504,0.8617097496325766,129
6.0,130.0,0.8756125414095647,0.8374537572230781,129
6.0,140.0,0.9234623535708548,0.8087535701457429,129
6.0,150.0,0.9558551181192879,0.7775480183617886,129
6.0,160.0,0.9760419078192017,0.7459267834191464,129
6.0,170.0,0.9876593180505587,0.7157270053210587,129
6.0,180.0,0.9938771594488909,0.6882157417376463,129
6.5,60.0,0.42753301611171846,0.9068158080236245,129
6.5,70.0,0.5298273191278974,0.9094180437244794,129
6.5,80.0,0.6325977642618618,0.9049099869369773,129
6.5,90.0,0.7284808251835585,0.8929149814252484,129
6.5,100.0,0.8111795389058936,0.8736543729856758,129
6.5,110.0,0.8768792595606252,0.8480646561507525,129
6.5,120.0,0.9248394658136426,0.8177896824635104,129
6.5,130.0,0.9569829772721614,0.7849821152363303,129
6.5,140.0,0.9767898396150573,0.7519187278205557,129
6.5,150.0,0.9880636132091389,0.7205479995035582,129
6.5,160.0,0.9940465225432781,0.6921576723346474,129
6.5,170.0,0.99705393796382,0.6672930886465956,129
6.5,180.0,0.9985194605419708,0.6459085379520549,129
7.0,60.0,0.6273662359394456,0.9170314229992388,129
7.0,70.0,0.7250544102758796,0.9049043389188803,129
7.0,80.0,0.8093335435102292,0.8849973826091794,129
7.0,90.0,0.8761499102575414,0.8583411971253008,129
7.0,100.0,0.9247190183357712,0.826737651531593,129
7.0,110.0,0.9570784375895981,0.7925284176009149,129
7.0,120.0,0.9768843828291169,0.7581608724168407,129
7.0,130.0,0.9880883504344667,0.7256915787528246,129
7.0,140.0,0.9940131316915082,0.6964389163195889,129
7.0,150.0,0.9969960875978269,0.6709203712662922,129
7.0,160.0,0.9984627692260851,0.6490383362874481,129
7.0,170.0,0.9991347752156199,0.6302749332804944,129
7.0,180.0,0.9994713014117771,0.6142421931101149,129
7.5,60.0,0.80538138452124,0.8958495619580388,129
