,subj_id,session,route,intersection_no,idx_bot_spawn,idx_response,idx_min_distance,min_distance,RT,tta_condition,d_condition,v_condition,is_turn_decision,decision
99,129,2,7,25,71.0,135.0,83.0,7.953160636780137,0.7169000000000008,6.0,150.0,25.0,True,Turn
100,129,2,8,2,40.0,114.0,51.0,20.578465432300806,0.815900000000001,6.0,120.0,20.0,True,Turn
101,129,2,8,3,50.0,385.0,521.0,3.545825629890108,3.4423000000000012,5.0,120.0,24.0,False,Wait
102,129,2,8,7,77.0,155.0,458.0,3.365211303954316,0.8021999999999991,4.0,120.0,30.0,False,Wait
103,129,2,8,9,59.0,135.0,432.0,30.181491555057047,0.8376000000000001,5.0,150.0,30.0,True,Turn
104,129,2,8,10,58.0,134.0,434.0,28.15826245787392,0.8331999999999997,5.0,150.0,30.0,True,Turn
105,129,2,8,11,57.0,473.0,623.0,3.488603019822614,4.274199999999999,6.0,90.0,15.0,False,Wait
106,129,2,8,15,55.0,116.0,425.0,24.90559567868153,0.6275999999999993,5.0,150.0,30.0,True,Turn
107,129,2,8,17,66.0,130.0,429.0,35.494141470094746,0.6586999999999996,6.0,120.0,20.0,True,Turn
108,129,2,8,18,48.0,356.0,430.0,3.633920266328112,3.1637000000000004,4.0,120.0,30.0,False,Wait
109,129,2,8,19,47.0,117.0,405.0,8.21746007501512,0.7740999999999989,4.0,120.0,30.0,True,Turn
110,129,2,8,20,98.0,622.0,687.0,3.858697912761964,5.434399999999998,6.0,120.0,20.0,False,Wait
111,129,2,8,21,53.0,210.0,499.0,15.146392656111145,1.6631999999999998,6.0,90.0,15.0,True,Turn
112,129,2,8,22,62.0,137.0,73.0,3.3393064443760787,0.8309999999999995,4.0,150.0,37.5,False,Wait
113,129,2,8,24,66.0,159.0,439.0,6.416123898184322,1.0165000000000006,4.0,150.0,37.5,True,Turn
114,129,2,8,25,60.0,528.0,554.0,3.5872912502250864,4.864799999999999,5.0,90.0,18.0,False,Wait
115,389,1,1,1,71.0,357.0,651.0,3.5574260354668588,2.998199999999997,6.0,90.0,15.0,False,Wait
116,389,1,1,5,45.0,315.0,531.0,4.074555312828491,2.8133,5.0,120.0,24.0,False,Wait
117,389,1,1,6,35.0,261.0,430.0,3.933776456830225,2.3710000000000004,4.0,150.0,37.5,False,Wait
118,389,1,1,8,57.0,419.0,552.0,4.094119616534666,3.776200000000001,5.0,150.0,30.0,False,Wait
119,389,1,1,10,40.0,257.0,436.0,4.038405986969925,2.2835,4.0,150.0,37.5,False,Wait
120,389,1,1,11,118.0,283.0,491.0,4.038199354063777,1.6965000000000003,4.0,90.0,22.5,False,Wait
121,389,1,1,12,53.0,286.0,433.0,3.8781162459189433,2.3945999999999987,4.0,90.0,22.5,False,Wait
122,389,1,1,13,76.0,340.0,556.0,4.023180423741529,2.7120999999999995,5.0,150.0,30.0,False,Wait
123,389,1,1,14,68.0,228.0,541.0,4.1399704622269535,1.6438000000000006,5.0,90.0,18.0,False,Wait
124,389,1,1,15,77.0,145.0,474.0,37.84346621596558,0.6997999999999998,6.0,150.0,25.0,True,Turn
125,389,1,1,19,76.0,148.0,509.0,30.762491838871263,0.7418999999999993,6.0,150.0,25.0,True,Turn
126,389,1,1,20,123.0,379.0,504.0,3.893665570293241,2.6310000000000002,4.0,90.0,22.5,False,Wait
127,389,1,1,21,100.0,273.0,577.0,4.144929859857541,1.7779000000000007,5.0,150.0,30.0,False,Wait
128,389,1,1,22,94.0,154.0,488.0,38.92102506637659,0.6184999999999992,6.0,150.0,25.0,True,Turn
129,389,1,2,2,95.0,277.0,669.0,3.647121662499794,1.872300000000001,6.0,150.0,25.0,False,Wait
130,389,1,2,3,78.0,436.0,473.0,4.245255889198131,3.7349999999999994,4.0,120.0,30.0,False,Wait
131,389,1,2,5,102.0,155.0,508.0,39.18069083889698,0.545399999999999,6.0,150.0,25.0,True,Turn
132,389,1,2,6,25.0,97.0,25.0,2.3516614142896555,0.7983999999999991,4.0,150.0,37.5,False,Wait
133,389,1,2,7,114.0,153.0,485.0,22.038731137102104,0.40249999999999986,5.0,120.0,24.0,True,Turn
134,389,1,2,9,46.0,202.0,621.0,4.148723204388005,1.6719000000000008,6.0,120.0,20.0,False,Wait
135,389,1,2,10,89.0,281.0,576.0,4.050065329988696,2.0215999999999994,5.0,90.0,18.0,False,Wait
136,389,1,2,12,57.0,153.0,638.0,3.8836300356304734,1.0379000000000005,6.0,90.0,15.0,False,Wait
137,389,1,2,13,50.0,150.0,515.0,4.149148416487409,1.0279000000000007,5.0,90.0,18.0,False,Wait
138,389,1,2,14,84.0,418.0,467.0,4.139375385259251,3.434199999999999,4.0,120.0,30.0,False,Wait
139,389,1,2,16,63.0,95.0,547.0,3.9587136487487613,0.3861000000000008,5.0,120.0,24.0,False,Wait
140,389,1,2,17,142.0,211.0,512.0,3.15810842978187,0.7697000000000003,4.0,150.0,37.5,False,Wait
141,389,1,2,21,108.0,173.0,459.0,6.697762597884364,0.6679999999999993,4.0,150.0,37.5,True,Turn
142,389,1,2,25,104.0,169.0,473.0,35.19405418771273,0.6689000000000007,6.0,120.0,20.0,True,Turn
143,389,1,3,1,102.0,245.0,485.0,3.7036765838062955,1.470499999999987,4.0,120.0,30.0,False,Wait
144,389,1,3,4,83.0,176.0,552.0,3.7442088024068365,0.9566999999999997,5.0,120.0,24.0,False,Wait
145,389,1,3,6,27.0,116.0,591.0,3.8301921620682546,0.9634999999999998,6.0,90.0,15.0,False,Wait
146,389,1,3,7,45.0,115.0,407.0,27.48316829175741,0.7736000000000001,6.0,90.0,15.0,True,Turn
147,389,1,3,8,120.0,192.0,486.0,27.229287201010933,0.7409999999999997,5.0,150.0,30.0,True,Turn
148,389,1,3,9,104.0,193.0,484.0,26.237173556972174,0.9662000000000006,6.0,90.0,15.0,True,Turn
149,389,1,3,10,74.0,177.0,475.0,35.99520337714433,1.0591000000000008,6.0,150.0,25.0,True,Turn
150,389,1,3,11,65.0,122.0,421.0,22.539888381140013,0.588099999999999,5.0,120.0,24.0,True,Turn
151,389,1,3,17,62.0,104.0,429.0,34.82586451390114,0.4324999999999992,6.0,120.0,20.0,True,Turn
152,389,1,3,18,59.0,108.0,405.0,37.896028945174784,0.5523999999999987,5.0,150.0,30.0,True,Turn
153,389,1,3,19,62.0,142.0,455.0,4.098835973426212,0.8704999999999998,4.0,90.0,22.5,False,Wait
154,389,1,3,20,63.0,200.0,443.0,3.9053657275096723,1.4094000000000015,4.0,90.0,22.5,False,Wait
155,389,1,3,23,43.0,232.0,420.0,3.883351504817666,1.9423999999999992,4.0,120.0,30.0,False,Wait
156,389,1,3,24,86.0,123.0,428.0,35.0816414737219,0.38179999999999836,5.0,150.0,30.0,True,Turn
157,389,1,4,1,54.0,115.0,541.0,3.454037569064481,0.6816999999999922,5.0,120.0,24.0,False,Wait
158,389,1,4,4,47.0,98.0,449.0,20.698482659040845,0.5869,5.0,150.0,30.0,True,Turn
159,389,1,4,10,60.0,123.0,445.0,3.231983574873291,0.6900999999999993,4.0,150.0,37.5,False,Wait
160,389,1,4,12,62.0,105.0,546.0,4.238922607226343,0.4991000000000003,5.0,90.0,18.0,False,Wait
161,389,1,4,13,73.0,122.0,454.0,4.1385468915468815,0.5042000000000009,4.0,120.0,30.0,False,Wait
162,389,1,4,14,100.0,371.0,684.0,4.283796097169054,2.8339999999999996,6.0,120.0,20.0,False,Wait
163,389,1,4,15,146.0,202.0,500.0,50.32728750464452,0.5762,6.0,150.0,25.0,True,Turn
164,389,1,4,17,78.0,140.0,456.0,4.050562730480426,0.6379000000000001,4.0,120.0,30.0,False,Wait
165,389,1,4,18,76.0,241.0,657.0,4.0140551129413025,1.7544000000000004,6.0,90.0,15.0,False,Wait
166,389,1,4,19,120.0,172.0,474.0,48.87724632285889,0.5345999999999993,6.0,150.0,25.0,True,Turn
167,389,1,4,20,85.0,328.0,464.0,3.6166772686725044,2.496500000000001,4.0,90.0,22.5,False,Wait
168,389,1,4,22,105.0,251.0,486.0,4.283065641059996,1.5013000000000005,4.0,90.0,22.5,False,Wait
169,389,1,4,23,105.0,253.0,669.0,3.9297714349458124,1.5213999999999999,6.0,90.0,15.0,False,Wait
170,389,1,4,24,95.0,240.0,568.0,4.009342392933985,1.4905000000000008,5.0,90.0,18.0,False,Wait
171,389,1,4,25,26.0,108.0,37.0,54.55374201916899,0.8943999999999992,5.0,150.0,30.0,True,Turn
172,389,2,5,1,76.0,143.0,436.0,7.510111347008625,0.6900999999999975,4.0,150.0,37.5,True,Turn
173,389,2,5,4,77.0,140.0,436.0,22.654522197101205,0.6495999999999995,5.0,120.0,24.0,True,Turn
174,389,2,5,5,100.0,151.0,445.0,9.184495651392497,0.5251999999999999,4.0,150.0,37.5,True,Turn
175,389,2,5,6,33.0,94.0,397.0,45.04504613694886,0.6281999999999996,6.0,150.0,25.0,True,Turn
176,389,2,5,7,88.0,145.0,437.0,37.04386676094862,0.6305999999999994,5.0,150.0,30.0,True,Turn
177,389,2,5,9,109.0,372.0,583.0,3.966189369581587,2.708999999999998,5.0,90.0,18.0,False,Wait
178,389,2,5,10,83.0,133.0,453.0,4.01181733409273,0.5152000000000001,4.0,150.0,37.5,False,Wait
179,389,2,5,11,154.0,481.0,536.0,4.313412006034978,3.3649000000000004,4.0,90.0,22.5,False,Wait
180,389,2,5,13,63.0,488.0,636.0,4.2942230909010455,4.377599999999999,6.0,120.0,20.0,False,Wait
181,389,2,5,14,127.0,401.0,506.0,4.250909646905203,2.818999999999999,4.0,90.0,22.5,False,Wait
182,389,2,5,15,88.0,130.0,425.0,40.49917375752122,0.43329999999999913,6.0,120.0,20.0,True,Turn
183,389,2,5,16,89.0,150.0,450.0,33.375407366352185,0.6837,5.0,150.0,30.0,True,Turn
184,389,2,5,17,77.0,476.0,651.0,4.1257582926266,4.103399999999999,6.0,90.0,15.0,False,Wait
185,389,2,5,18,71.0,142.0,442.0,36.80673386966329,0.7874999999999996,6.0,120.0,20.0,True,Turn
186,389,2,5,25,87.0,141.0,559.0,3.829172161829207,0.5569000000000006,5.0,120.0,24.0,False,Wait
187,389,2,6,1,118.0,363.0,604.0,4.084503535998482,2.572500000000005,5.0,90.0,18.0,False,Wait
188,389,2,6,3,84.0,396.0,468.0,4.014654357570413,3.2127999999999997,4.0,90.0,22.5,False,Wait
189,389,2,6,6,106.0,233.0,680.0,4.462821904430689,1.3068000000000008,6.0,120.0,20.0,False,Wait
190,389,2,6,7,95.0,395.0,679.0,4.049319077760038,3.1351999999999993,6.0,90.0,15.0,False,Wait
191,389,2,6,8,86.0,154.0,450.0,35.39817782070581,0.700899999999999,6.0,120.0,20.0,True,Turn
192,389,2,6,13,98.0,154.0,448.0,9.762749953544095,0.5763000000000016,4.0,150.0,37.5,True,Turn
193,389,2,6,14,91.0,354.0,578.0,4.055057606879343,2.7482000000000006,5.0,90.0,18.0,False,Wait
194,389,2,6,15,84.0,134.0,437.0,38.127423932621205,0.5151000000000003,6.0,120.0,20.0,True,Turn
195,389,2,6,16,125.0,240.0,591.0,4.22738388756006,1.1850999999999985,5.0,90.0,18.0,False,Wait
196,389,2,6,18,67.0,120.0,439.0,29.323065044386667,0.5954999999999995,5.0,150.0,30.0,True,Turn
197,389,2,6,19,87.0,134.0,430.0,9.655709358291807,0.4842000000000013,4.0,150.0,37.5,True,Turn
198,389,2,6,21,122.0,164.0,454.0,11.660179506425191,0.4336000000000002,4.0,150.0,37.5,True,Turn
199,389,2,6,22,94.0,139.0,425.0,43.07000352019862,0.4642999999999997,6.0,120.0,20.0,True,Turn
200,389,2,6,23,68.0,404.0,462.0,3.8860765155616694,3.5076,4.0,90.0,22.5,False,Wait
201,389,2,6,25,89.0,325.0,560.0,4.3460418932838,2.4308999999999994,5.0,90.0,18.0,False,Wait
202,389,2,7,1,91.0,461.0,472.0,3.949619150874857,3.8121999999999616,4.0,90.0,22.5,False,Wait
203,389,2,7,3,45.0,323.0,442.0,4.008745036867041,2.9185,4.0,90.0,22.5,False,Wait
204,389,2,7,4,100.0,162.0,453.0,27.80261258954222,0.6913,5.0,120.0,24.0,True,Turn
205,389,2,7,5,69.0,226.0,464.0,4.388386128861403,1.664299999999999,4.0,120.0,30.0,False,Wait
206,389,2,7,6,81.0,293.0,569.0,4.294864825918123,2.2333,5.0,120.0,24.0,False,Wait
207,389,2,7,10,71.0,219.0,463.0,4.240117713804051,1.5763999999999996,4.0,120.0,30.0,False,Wait
208,389,2,7,12,76.0,140.0,428.0,50.0099960237696,0.6585000000000001,6.0,150.0,25.0,True,Turn
209,389,2,7,13,43.0,108.0,405.0,32.801805571081374,0.7271999999999998,5.0,150.0,30.0,True,Turn
210,389,2,7,15,103.0,430.0,483.0,4.188197020906158,3.364699999999999,4.0,90.0,22.5,False,Wait
211,389,2,7,16,82.0,369.0,556.0,3.9268259000695016,2.9527,5.0,90.0,18.0,False,Wait
212,389,2,7,17,85.0,126.0,420.0,36.731421048171434,0.42190000000000083,5.0,150.0,30.0,True,Turn
213,389,2,7,18,91.0,133.0,427.0,54.06041368144031,0.43319999999999936,6.0,150.0,25.0,True,Turn
214,389,2,7,19,81.0,278.0,665.0,3.636823020401917,2.077399999999999,6.0,120.0,20.0,False,Wait
215,389,2,7,25,92.0,144.0,434.0,52.3727937121839,0.5352999999999994,6.0,150.0,25.0,True,Turn
216,389,2,8,1,98.0,186.0,107.0,13.145103842034635,0.949799999999982,6.0,150.0,25.0,True,Turn
217,389,2,8,2,75.0,82.0,541.0,4.262740007170223,0.07199999999999918,5.0,90.0,18.0,False,Wait
218,389,2,8,6,77.0,386.0,555.0,3.7975477768745804,3.1783,5.0,90.0,18.0,False,Wait
219,389,2,8,8,89.0,329.0,468.0,4.112031353586276,2.469100000000001,4.0,90.0,22.5,False,Wait
220,389,2,8,10,109.0,207.0,493.0,41.88003276078731,1.0097999999999985,6.0,150.0,25.0,True,Turn
