subj_id,tta_condition,d_condition,n,loss,alpha,beta,theta,b_0,k,tta_crit,ndt_location,ndt_scale
996,NA,NA,0,0.9597885983122644,3.1660153573122676,0.062079391404489925,10.926301297789124,1.4094656705831894,1.9879363603399915,5.8498380354426995,0.40128665009597025,0.15119477571265186
996,NA,NA,1,0.9565582637900332,3.208853036146154,0.06007019466084851,10.738207451428291,1.7219677298331082,1.9696685694588016,5.9716692787766705,0.404138395941551,0.15168402851231338
996,NA,NA,2,0.9562904950043076,3.1756393373668126,0.06049861011374604,10.764978568106649,1.7585753308930216,1.9745859590529042,5.9761365314775,0.40314572385214603,0.1503122864905688
996,NA,NA,3,0.9623420169655824,2.8130290797232003,0.06302831714808188,10.972402234688943,1.2153275431883563,1.987885611167004,5.708830449623629,0.40320534052240065,0.15146408229566952
996,NA,NA,4,0.9563800246307185,3.267855736306696,0.05918012838305003,10.668627355409473,1.5471544112836322,1.9829156269661836,5.900031330750185,0.4064229547476614,0.15112761310101092
996,NA,NA,5,0.9596115724734297,3.147043594367923,0.057701841479349536,10.521502458151922,1.507063660044654,1.9922658282215853,5.832920656433129,0.4014940189978731,0.1538449903486038
996,NA,NA,6,0.9580252114660357,3.2023934214047105,0.06252441463702672,10.962115796140449,1.6795500635429867,1.9927977158685088,5.95787788071149,0.4050815223279809,0.1487692699230484
996,NA,NA,7,0.9631203945789414,3.1275167866506917,0.060459712973625124,10.758250178183886,1.379527377587996,1.9766152486606106,5.854460063403946,0.4047951049400124,0.144388948026092
996,NA,NA,8,0.999575461893358,1.3852858008256395,0.026703171321616037,7.200492775531437,1.1855297169175627,0.3810887226665539,5.302379133677765,0.27076680517944973,0.09037951592741938
996,NA,NA,9,0.9672311442957532,2.7588575355285103,0.05926638576279364,10.638959910664418,1.2121421462222604,1.9506620361694484,5.6735828308719345,0.40857808061106526,0.15466916226041807
