tta_condition,d_condition,t,rt_corr_pdf
5.0,150.0,0.864,0.6248025034465251
5.0,150.0,0.866,0.6180405369890916
5.0,150.0,0.868,0.6113545614314221
5.0,150.0,0.87,0.6047436563936082
5.0,150.0,0.872,0.598206913484472
5.0,150.0,0.874,0.5917434361424451
5.0,150.0,0.876,0.5853523394782666
5.0,150.0,0.878,0.5790327501194912
5.0,150.0,0.88,0.5727838060568121
5.0,150.0,0.882,0.5666046564921946
5.0,150.0,0.884,0.560494461688823
5.0,150.0,0.886,0.554452392822843
5.0,150.0,0.888,0.5484776318369006
5.0,150.0,0.89,0.5425693712954747
5.0,150.0,0.892,0.5367268142419911
5.0,150.0,0.894,0.5309491740577016
5.0,150.0,0.896,0.5252356743223294
5.0,150.0,0.898,0.5195855486764677
5.0,150.0,0.9,0.5139980406857166
5.0,150.0,0.902,0.5084724037065451
5.0,150.0,0.904,0.5030079007538709
5.0,150.0,0.906,0.4976038043703443
5.0,150.0,0.908,0.49225939649731687
5.0,150.0,0.91,0.4869739683474918
5.0,150.0,0.912,0.4817468202792259
5.0,150.0,0.914,0.476577261672484
5.0,150.0,0.916,0.47146461080642044
5.0,150.0,0.918,0.46640819473857903
5.0,150.0,0.92,0.4614073491856924
5.0,150.0,0.922,0.45646141840606164
5.0,150.0,0.924,0.4515697550835098
5.0,150.0,0.926,0.44673172021288526
5.0,150.0,0.928,0.44194668298709766
5.0,150.0,0.93,0.43721402068567794
5.0,150.0,0.932,0.43253311856484067
5.0,150.0,0.934,0.4279033697490308
5.0,150.0,0.936,0.42332417512394327
5.0,150.0,0.9380000000000001,0.4187949432309915
5.0,150.0,0.9400000000000001,0.4143150901632167
5.0,150.0,0.9420000000000001,0.40988403946261703
5.0,150.0,0.9440000000000001,0.405501222018877
5.0,150.0,0.9460000000000001,0.40116607596948667
5.0,150.0,0.9480000000000001,0.39687804660122966
5.0,150.0,0.9500000000000001,0.3926365862530252
5.0,150.0,0.9520000000000001,0.38844115422010644
5.0,150.0,0.9540000000000001,0.38429121665952065
5.0,150.0,0.9560000000000001,0.38018624649693283
5.0,150.0,0.9580000000000001,0.3761257233347179
5.0,150.0,0.96,0.3721091333613245
5.0,150.0,0.962,0.36813596926189585
5.0,150.0,0.964,0.3642057301301271
5.0,150.0,0.966,0.36031792138134866
5.0,150.0,0.968,0.3564720546668179
5.0,150.0,0.97,0.3526676477892061
5.0,150.0,0.972,0.3489042246192537
5.0,150.0,0.974,0.3451813150135933
5.0,150.0,0.976,0.3414984547337191
5.0,150.0,0.978,0.33785518536608583
5.0,150.0,0.98,0.33425105424332396
5.0,150.0,0.982,0.3306856143665549
5.0,150.0,0.984,0.3271584243287929
5.0,150.0,0.986,0.32366904823941867
5.0,150.0,0.988,0.32021705564971314
5.0,150.0,0.99,0.31680202147942993
5.0,150.0,0.992,0.31342352594439693
5.0,150.0,0.994,0.31008115448513657
5.0,150.0,0.996,0.3067744976964836
5.0,150.0,0.998,0.3035031512581893
5.0,150.0,1.0,0.30026671586650233
5.0,150.0,1.002,0.2970647971667078
5.0,150.0,1.004,0.2938970056866139
5.0,150.0,1.006,0.29076295677097097
5.0,150.0,1.008,0.28766227051681376
5.0,150.0,1.01,0.2845945717097103
5.0,150.0,1.012,0.2815594897609056
5.0,150.0,1.014,0.27855665864535023
5.0,150.0,1.016,0.2755857168405967
5.0,150.0,1.018,0.27264630726655653
5.0,150.0,1.02,0.26973807722610255
5.0,150.0,1.022,0.26686067834650534
5.0,150.0,1.024,0.26401376652169245
5.0,150.0,1.026,0.26119700185531913
5.0,150.0,1.028,0.2584100486046395
5.0,150.0,1.03,0.2556525751251618
5.0,150.0,1.032,0.2529242538160873
5.0,150.0,1.034,0.25022476106650976
5.0,150.0,1.036,0.2475537772023713
5.0,150.0,1.038,0.24491098643416523
5.0,150.0,1.04,0.24229607680536971
5.0,150.0,1.042,0.2397087401416074
5.0,150.0,1.044,0.2371486720005151
5.0,150.0,1.046,0.23461557162231983
5.0,150.0,1.048,0.23210914188110535
5.0,150.0,1.05,0.22962908923676265
5.0,150.0,1.052,0.22717512368761375
5.0,150.0,1.054,0.22474695872369851
5.0,150.0,1.056,0.22234431128071658
5.0,150.0,1.058,0.2199669016946125
5.0,150.0,1.06,0.21761445365679827
5.0,150.0,1.062,0.2152866941700004
5.0,150.0,1.064,0.21298335350472566
5.0,150.0,1.066,0.2107041651563348
5.0,150.0,1.068,0.20844886580271638
5.0,150.0,1.07,0.20621719526255175
5.0,150.0,1.072,0.20400889645416162
5.0,150.0,1.074,0.20182371535492838
5.0,150.0,1.076,0.19966140096128407
5.0,150.0,1.078,0.19752170524925616
5.0,150.0,1.08,0.1954043831355629
5.0,150.0,1.082,0.19330919243925102
5.0,150.0,1.084,0.191235893843867
5.0,150.0,1.086,0.18918425086015545
5.0,150.0,1.088,0.1871540297892768
5.0,150.0,1.09,0.1851449996865347
5.0,150.0,1.092,0.18315693232560917
5.0,150.0,1.094,0.1811896021632861
5.0,150.0,1.096,0.17924278630467533
5.0,150.0,1.098,0.17731626446891294
5.0,150.0,1.1,0.1754098189553377
5.0,150.0,1.102,0.1735232346101374
5.0,150.0,1.104,0.17165629879345704
5.0,150.0,1.106,0.16980880134696202
5.0,150.0,1.108,0.16798053456184942
5.0,150.0,1.11,0.16617129314730295
5.0,150.0,1.112,0.16438087419938452
5.0,150.0,1.114,0.1626090771703528
5.0,150.0,1.116,0.16085570383840797
5.0,150.0,1.118,0.15912055827785293
5.0,150.0,1.12,0.15740344682966453
5.0,150.0,1.122,0.15570417807247308
5.0,150.0,1.124,0.1540225627939397
5.0,150.0,1.1260000000000001,0.15235841396252778
5.0,150.0,1.1280000000000001,0.1507115466996629
5.0,150.0,1.1300000000000001,0.14908177825227584
5.0,150.0,1.1320000000000001,0.1474689279657223
5.0,150.0,1.1340000000000001,0.14587281725707357
5.0,150.0,1.1360000000000001,0.14429326958877617
5.0,150.0,1.1380000000000001,0.1427301104426703
5.0,150.0,1.1400000000000001,0.14118316729436492
5.0,150.0,1.1420000000000001,0.139652269587964
5.0,150.0,1.1440000000000001,0.1381372487111383
5.0,150.0,1.1460000000000001,0.13663793797053878
5.0,150.0,1.1480000000000001,0.13515417256754464
5.0,150.0,1.1500000000000001,0.13368578957434438
5.0,150.0,1.1520000000000001,0.13223262791034165
5.0,150.0,1.154,0.13079452831888358
5.0,150.0,1.156,0.12937133334430695
5.0,150.0,1.158,0.12796288730929564
5.0,150.0,1.16,0.12656903629254737
5.0,150.0,1.162,0.1251896281067442
5.0,150.0,1.164,0.12382451227682115
5.0,150.0,1.166,0.12247354001853177
5.0,150.0,1.168,0.12113656421730364
5.0,150.0,1.17,0.11981343940738082
5.0,150.0,1.172,0.1185040217512493
5.0,150.0,1.174,0.11720816901934099
5.0,150.0,1.176,0.1159257405700121
5.0,150.0,1.178,0.11465659732979255
5.0,150.0,1.18,0.1134006017739031
5.0,150.0,1.182,0.11215761790703452
5.0,150.0,1.184,0.11092751124438663
5.0,150.0,1.186,0.10971014879296333
5.0,150.0,1.188,0.10850539903311952
5.0,150.0,1.19,0.10731313190035625
5.0,150.0,1.192,0.1061332187673615
5.0,150.0,1.194,0.1049655324262923
