tta_condition,d_condition,is_turn_decision,RT,subj_id
2.0,60.0,0.0004905555704465378,0.5936810813082181,129
2.0,70.0,0.0007380545231063191,0.5996106010455098,129
2.0,80.0,0.0011102515224199797,0.6062259045209268,129
2.0,90.0,0.001669779824599565,0.6136412833695801,129
2.0,100.0,0.0025104858091277065,0.6219899363811732,129
2.0,110.0,0.003772757017636116,0.6314395866217333,129
2.0,120.0,0.005665948857905781,0.6421884725279081,129
2.0,130.0,0.008500785238589376,0.6544596507556476,129
2.0,140.0,0.012735534749064076,0.6685188946102287,129
2.0,150.0,0.019038865501639267,0.6846416596029669,129
2.0,160.0,0.028371812948677272,0.7031122150541915,129
2.0,170.0,0.042082811192444315,0.7241529986304758,129
2.0,180.0,0.06199600522392289,0.7478394123860894,129
2.5,60.0,0.0011116381996308748,0.6062471666579214,129
2.5,70.0,0.0016718639938308713,0.6136651711860072,129
2.5,80.0,0.0025136163957760176,0.6220169009357558,129
2.5,90.0,0.0037774552954700498,0.631470173480612,129
2.5,100.0,0.0056729908152434285,0.6422233319379493,129
2.5,110.0,0.008511319493862265,0.6544995167630322,129
2.5,120.0,0.012751248215691305,0.6685646041432003,129
2.5,130.0,0.019062276562486182,0.6846980563141496,129
2.5,140.0,0.028406354772052868,0.7031761395091963,129
2.5,150.0,0.04213330447214562,0.7242249500295993,129
2.5,160.0,0.06206881931010058,0.7479191800795705,129
2.5,170.0,0.09054083024008852,0.7739738567360872,129
2.5,180.0,0.13023596792892778,0.8014100697617257,129
3.0,60.0,0.002516750873648332,0.6220438752414931,129
3.0,70.0,0.0037821593975524035,0.6315007718090349,129
3.0,80.0,0.005680041467959285,0.6422582048400484,129
3.0,90.0,0.008521866680362014,0.6545393985320074,129
3.0,100.0,0.01276698080276024,0.6686103319131348,129
3.0,110.0,0.019085643806539657,0.684750498925736,129
3.0,120.0,0.028440842209700626,0.7032360880974938,129
3.0,130.0,0.042183731326288575,0.724292920862345,129
3.0,140.0,0.062141554666153516,0.7479950384630242,129
3.0,150.0,0.0906436925557838,0.774056081872968,129
3.0,160.0,0.13037738717921016,0.8014946667930416,129
3.0,170.0,0.18395703679822853,0.8287107853159013,129
3.0,180.0,0.2530662412274594,0.8533141622128794,129
3.5,60.0,0.0056871008266419915,0.6422930912390804,129
3.5,70.0,0.008532426813643907,0.6545792960677637,129
3.5,80.0,0.012782732532859128,0.6686560779251833,129
3.5,90.0,0.019109039111614694,0.6848029622226918,129
3.5,100.0,0.028475370251898297,0.7032960593048608,129
3.5,110.0,0.04223421581511143,0.7243609149198231,129
3.5,120.0,0.062214369521806825,0.7480709179681624,129
3.5,130.0,0.09074665993645033,0.7741383209481509,129
3.5,140.0,0.13051893662787006,0.8015792625417436,129
3.5,150.0,0.18414426813089077,0.8287913997715115,129
3.5,160.0,0.2533017186794933,0.853382523682758,129
3.5,170.0,0.33759041624447994,0.8725287347118352,129
3.5,180.0,0.4335997578534509,0.8836409013083234,129
4.0,60.0,0.012798503428596245,0.668701842184255,129
4.0,70.0,0.019132462509956715,0.6848554462088716,129
4.0,80.0,0.02850993894333166,0.7033560531319476,129
4.0,90.0,0.042284757997910906,0.7244289321963596,129
4.0,100.0,0.06228726395038443,0.748146818577857,129
4.0,110.0,0.0908498159971331,0.7742220978993519,129
4.0,120.0,0.13066061709849228,0.8016638665985352,129
4.0,130.0,0.18433164637284968,0.828871990071119,129
4.0,140.0,0.2535373401060646,0.8534508340502232,129
4.0,150.0,0.3378687424263621,0.8725761113004867,129
4.0,160.0,0.4339054279033475,0.8836605449291199,129
4.0,170.0,0.5352527241288751,0.8850635146144766,129
4.0,180.0,0.6339508676288907,0.876570498752959,129
4.5,60.0,0.028544548328713698,0.7034160695793462,129
4.5,70.0,0.04233535793402144,0.7244969726861552,129
4.5,80.0,0.062360238025298956,0.7482227402749531,129
4.5,90.0,0.09095299410568963,0.7743043694425185,129
4.5,100.0,0.1308024271538676,0.8017484596320076,129
4.5,110.0,0.1845191715510637,0.8289525561361482,129
4.5,120.0,0.25377310545714743,0.8535190932326437,129
4.5,130.0,0.33814718056691173,0.8726234119187333,129
4.5,140.0,0.4342111489482797,0.8836800968412765,129
4.5,150.0,0.535562727946985,0.8850523385343536,129
4.5,160.0,0.634240693717169,0.8765303094690092,129
4.5,170.0,0.7230001775900077,0.8593934549424758,129
4.5,180.0,0.7972339217756972,0.8360338112202945,129
5.0,60.0,0.06243329181993359,0.7482986830422115,129
5.0,70.0,0.09105627752168381,0.774386654829534,129
5.0,80.0,0.13094436761443534,0.8018330512052572,129
5.0,90.0,0.18470684369198662,0.8290330978877567,129
5.0,100.0,0.2540090146820111,0.8535873011470052,129
5.0,110.0,0.33842573052074826,0.8726706365017576,129
5.0,120.0,0.4345169207678834,0.883699557016143,129
5.0,130.0,0.5358727061584345,0.8850410687036022,129
5.0,140.0,0.6345304248251105,0.876490038709742,129
5.0,150.0,0.7232508524704585,0.8593300930241461,129
5.0,160.0,0.7974365043877684,0.8359557289406269,129
5.0,170.0,0.8557357450297267,0.8091990634193309,129
5.0,180.0,0.8993506684197428,0.7816287216559485,129
5.5,60.0,0.1310864385490732,0.8019176412590137,129
5.5,70.0,0.18489466282210382,0.8291136152471228,129
5.5,80.0,0.25424506773024264,0.8536554577107978,129
5.5,90.0,0.3387043921417617,0.8727177849843751,129
5.5,100.0,0.4348227431418279,0.883718925425345,129
5.5,110.0,0.5361826585281857,0.8850297051387043,129
5.5,120.0,0.6348200607735236,0.8764496865319006,129
5.5,130.0,0.7235013887286835,0.8592666726385704,129
