tta_condition,d_condition,is_turn_decision,RT,loss
4.0,90.0,0.14956518034293434,0.38133193680657695,0.48628036342419895
4.0,150.0,0.5043123536754409,0.4241090851503981,0.48628036342419895
4.0,120.0,0.29799755357209,0.41243905018611615,0.48628036342419895
5.0,90.0,0.35948780446082373,0.4473795566499436,0.48628036342419895
5.0,150.0,0.795021567861938,0.42574592091028685,0.48628036342419895
5.0,120.0,0.5864769137439632,0.454086536202563,0.48628036342419895
6.0,90.0,0.6567313080576865,0.47398416768465174,0.48628036342419895
6.0,150.0,0.9512215858491371,0.35818187125081746,0.48628036342419895
6.0,120.0,0.8492825577781579,0.4302931940027667,0.48628036342419895
