tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,3.3148145678106224e-25
4.0,90.0,0.002,2.1503408863865537e-23
4.0,90.0,0.004,6.868681866996337e-22
4.0,90.0,0.006,1.4404624099798817e-20
4.0,90.0,0.008,2.2313274037103778e-19
4.0,90.0,0.01,2.7234405409747566e-18
4.0,90.0,0.012,2.728611141836183e-17
4.0,90.0,0.014,2.3085191021226807e-16
4.0,90.0,0.016,1.6839605127590666e-15
4.0,90.0,0.018000000000000002,1.0761709225284658e-14
4.0,90.0,0.02,6.102455747830617e-14
4.0,90.0,0.022,3.102559465270466e-13
4.0,90.0,0.024,1.426632420416875e-12
4.0,90.0,0.026000000000000002,5.977451083152476e-12
4.0,90.0,0.028,2.2969339923823e-11
4.0,90.0,0.03,8.141441859250747e-11
4.0,90.0,0.032,2.6755371646836644e-10
4.0,90.0,0.034,8.190509705814918e-10
4.0,90.0,0.036000000000000004,2.3456918923448357e-09
4.0,90.0,0.038,6.309969681284992e-09
4.0,90.0,0.04,1.60031330018795e-08
4.0,90.0,0.042,3.840035647467916e-08
4.0,90.0,0.044,8.747164766264501e-08
4.0,90.0,0.046,1.897481215380849e-07
4.0,90.0,0.048,3.9316519689338906e-07
4.0,90.0,0.05,7.803799843753553e-07
4.0,90.0,0.052000000000000005,1.48783858505531e-06
4.0,90.0,0.054,2.731805141996739e-06
4.0,90.0,0.056,4.842331468788561e-06
4.0,90.0,0.058,8.305743857748627e-06
4.0,90.0,0.06,1.381568100025951e-05
4.0,90.0,0.062,2.2332086615662277e-05
4.0,90.0,0.064,3.514690937568357e-05
4.0,90.0,0.066,5.3954660383769504e-05
4.0,90.0,0.068,8.092548565874796e-05
4.0,90.0,0.07,0.00011877807227171655
4.0,90.0,0.07200000000000001,0.00017084954625321117
4.0,90.0,0.074,0.0002411595420080879
4.0,90.0,0.076,0.0003344658129828151
4.0,90.0,0.078,0.0004563090847613752
4.0,90.0,0.08,0.0006130452895428117
4.0,90.0,0.082,0.000811863826732824
4.0,90.0,0.084,0.0010607910306247809
4.0,90.0,0.08600000000000001,0.0013686785591312683
4.0,90.0,0.088,0.001745176919269385
4.0,90.0,0.09,0.0022006947942755034
4.0,90.0,0.092,0.0027463452192876517
4.0,90.0,0.094,0.003393879959272946
4.0,90.0,0.096,0.004155613671576499
4.0,90.0,0.098,0.005044339587880032
4.0,90.0,0.1,0.006073238531627357
4.0,90.0,0.10200000000000001,0.007255783104602971
4.0,90.0,0.10400000000000001,0.008605638839279423
4.0,90.0,0.106,0.010136564031380958
4.0,90.0,0.108,0.011862309849489123
4.0,90.0,0.11,0.013796522174663072
4.0,90.0,0.112,0.015952646461438135
4.0,90.0,0.114,0.018343836739721776
4.0,90.0,0.116,0.020982869701490676
4.0,90.0,0.11800000000000001,0.023882064642178846
4.0,90.0,0.12,0.02705320985854859
4.0,90.0,0.122,0.030507495945975693
4.0,90.0,0.124,0.03425545629088049
4.0,90.0,0.126,0.0383069149201315
4.0,90.0,0.128,0.04267094174959802
4.0,90.0,0.13,0.047355815169026205
4.0,90.0,0.132,0.052368991810002055
4.0,90.0,0.134,0.05771708326752314
4.0,90.0,0.136,0.06340583948294112
4.0,90.0,0.138,0.06944013844587646
4.0,90.0,0.14,0.0758239818341266
4.0,90.0,0.14200000000000002,0.08256049618250733
4.0,90.0,0.14400000000000002,0.08965193915285372
4.0,90.0,0.146,0.09709971046695452
4.0,90.0,0.148,0.10490436706090181
4.0,90.0,0.15,0.11306564202217581
4.0,90.0,0.152,0.12158246687877984
4.0,90.0,0.154,0.13045299682198458
4.0,90.0,0.156,0.13967463845991843
4.0,90.0,0.158,0.14924407971760553
4.0,90.0,0.16,0.15915732151945522
4.0,90.0,0.162,0.16940971091205115
4.0,90.0,0.164,0.17999597530787392
4.0,90.0,0.166,0.19091025755388824
4.0,90.0,0.168,0.202146151552351
4.0,90.0,0.17,0.21369673818445073
4.0,90.0,0.17200000000000001,0.22555462131020135
4.0,90.0,0.17400000000000002,0.2377119636401959
4.0,90.0,0.176,0.2501605222961886
4.0,90.0,0.178,0.262891683897914
4.0,90.0,0.18,0.2758964990329495
4.0,90.0,0.182,0.2891657159847542
4.0,90.0,0.184,0.3026898136111857
4.0,90.0,0.186,0.31645903328182917
4.0,90.0,0.188,0.33046340979734357
4.0,90.0,0.19,0.34469280122775126
4.0,90.0,0.192,0.3591369176192142
4.0,90.0,0.194,0.37378534853034917
4.0,90.0,0.196,0.3886275893696076
4.0,90.0,0.198,0.4036530665147255
4.0,90.0,0.2,0.41885116120375665
4.0,90.0,0.202,0.4342112321948188
4.0,90.0,0.20400000000000001,0.4497226371984786
4.0,90.0,0.20600000000000002,0.4653747530926519
4.0,90.0,0.20800000000000002,0.4811569949351581
4.0,90.0,0.21,0.4970588337936308
4.0,90.0,0.212,0.5130698134164131
4.0,90.0,0.214,0.5291795657714081
4.0,90.0,0.216,0.5453778254826828
4.0,90.0,0.218,0.5616544431969497
4.0,90.0,0.22,0.577999397913953
4.0,90.0,0.222,0.5944028083162596
4.0,90.0,0.224,0.6108549431350959
4.0,90.0,0.226,0.6273462305896907
4.0,90.0,0.228,0.6438672669380835
4.0,90.0,0.23,0.6604088241776288
4.0,90.0,0.232,0.6769618569334725
4.0,90.0,0.234,0.6935175085731073
4.0,90.0,0.23600000000000002,0.7100671165847502
