tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,0.0
4.0,90.0,0.002,0.0
4.0,90.0,0.004,0.0
4.0,90.0,0.006,0.0
4.0,90.0,0.008,0.0
4.0,90.0,0.01,0.0
4.0,90.0,0.012,0.0
4.0,90.0,0.014,0.0
4.0,90.0,0.016,0.0
4.0,90.0,0.018000000000000002,0.0
4.0,90.0,0.02,0.0
4.0,90.0,0.022,0.0
4.0,90.0,0.024,0.0
4.0,90.0,0.026000000000000002,0.0
4.0,90.0,0.028,0.0
4.0,90.0,0.03,0.0
4.0,90.0,0.032,0.0
4.0,90.0,0.034,0.0
4.0,90.0,0.036000000000000004,0.0
4.0,90.0,0.038,0.0
4.0,90.0,0.04,0.0
4.0,90.0,0.042,0.0
4.0,90.0,0.044,0.0
4.0,90.0,0.046,0.0
4.0,90.0,0.048,0.0
4.0,90.0,0.05,0.0
4.0,90.0,0.052000000000000005,0.0
4.0,90.0,0.054,0.0
4.0,90.0,0.056,0.0
4.0,90.0,0.058,0.0
4.0,90.0,0.06,0.0
4.0,90.0,0.062,0.0
4.0,90.0,0.064,0.0
4.0,90.0,0.066,0.0
4.0,90.0,0.068,0.0
4.0,90.0,0.07,0.0
4.0,90.0,0.07200000000000001,0.0
4.0,90.0,0.074,0.0
4.0,90.0,0.076,0.0
4.0,90.0,0.078,0.0
4.0,90.0,0.08,0.0
4.0,90.0,0.082,0.0
4.0,90.0,0.084,0.0
4.0,90.0,0.08600000000000001,0.0
4.0,90.0,0.088,0.0
4.0,90.0,0.09,0.0
4.0,90.0,0.092,0.0
4.0,90.0,0.094,0.0
4.0,90.0,0.096,0.0
4.0,90.0,0.098,0.0
4.0,90.0,0.1,0.0
4.0,90.0,0.10200000000000001,0.0
4.0,90.0,0.10400000000000001,0.0
4.0,90.0,0.106,0.0
4.0,90.0,0.108,0.0
4.0,90.0,0.11,0.0
4.0,90.0,0.112,0.0
4.0,90.0,0.114,0.0
4.0,90.0,0.116,0.0
4.0,90.0,0.11800000000000001,0.0
4.0,90.0,0.12,0.0
4.0,90.0,0.122,0.0
4.0,90.0,0.124,0.0
4.0,90.0,0.126,0.0
4.0,90.0,0.128,0.0
4.0,90.0,0.13,0.0
4.0,90.0,0.132,0.0
4.0,90.0,0.134,0.0
4.0,90.0,0.136,0.0
4.0,90.0,0.138,0.0
4.0,90.0,0.14,0.0
4.0,90.0,0.14200000000000002,0.0
4.0,90.0,0.14400000000000002,0.0
4.0,90.0,0.146,0.0
4.0,90.0,0.148,0.0
4.0,90.0,0.15,0.0
4.0,90.0,0.152,0.0
4.0,90.0,0.154,0.0
4.0,90.0,0.156,0.0
4.0,90.0,0.158,0.0
4.0,90.0,0.16,0.0
4.0,90.0,0.162,0.0
4.0,90.0,0.164,0.0
4.0,90.0,0.166,0.0
4.0,90.0,0.168,0.0
4.0,90.0,0.17,0.0
4.0,90.0,0.17200000000000001,0.0
4.0,90.0,0.17400000000000002,0.0
4.0,90.0,0.176,0.0
4.0,90.0,0.178,0.0
4.0,90.0,0.18,0.0
4.0,90.0,0.182,0.0
4.0,90.0,0.184,0.0
4.0,90.0,0.186,0.0
4.0,90.0,0.188,0.0
4.0,90.0,0.19,0.0
4.0,90.0,0.192,0.0
4.0,90.0,0.194,0.0
4.0,90.0,0.196,0.0
4.0,90.0,0.198,0.0
4.0,90.0,0.2,0.0
4.0,90.0,0.202,0.0
4.0,90.0,0.20400000000000001,0.0
4.0,90.0,0.20600000000000002,0.0
4.0,90.0,0.20800000000000002,0.0
4.0,90.0,0.21,0.0
4.0,90.0,0.212,0.0
4.0,90.0,0.214,0.0
4.0,90.0,0.216,0.0
4.0,90.0,0.218,0.0
4.0,90.0,0.22,0.0
4.0,90.0,0.222,0.0
4.0,90.0,0.224,0.0
4.0,90.0,0.226,0.0
4.0,90.0,0.228,0.0
4.0,90.0,0.23,0.0
4.0,90.0,0.232,0.0
4.0,90.0,0.234,0.0
4.0,90.0,0.23600000000000002,0.0
4.0,90.0,0.23800000000000002,0.0
4.0,90.0,0.24,0.0
4.0,90.0,0.242,0.0
4.0,90.0,0.244,0.0
4.0,90.0,0.246,0.0
4.0,90.0,0.248,0.0
4.0,90.0,0.25,1.143789599849479e-13
4.0,90.0,0.252,4.275865752432795e-12
4.0,90.0,0.254,7.781184310439872e-11
4.0,90.0,0.256,9.191226402589235e-10
4.0,90.0,0.258,7.929617125867942e-09
4.0,90.0,0.26,5.331964783659684e-08
4.0,90.0,0.262,2.912631245366928e-07
4.0,90.0,0.264,1.3306977568139643e-06
4.0,90.0,0.266,5.197090212896045e-06
4.0,90.0,0.268,1.765463102294971e-05
4.0,90.0,0.27,5.2920973050770054e-05
4.0,90.0,0.272,0.00014173018657496464
4.0,90.0,0.274,0.00034289532180254784
4.0,90.0,0.276,0.0007569948320378147
4.0,90.0,0.278,0.0015391712369865083
4.0,90.0,0.28,0.0029072607141574403
4.0,90.0,0.28200000000000003,0.005142203554534866
4.0,90.0,0.28400000000000003,0.008579667973831964
4.0,90.0,0.28600000000000003,0.013594086852601038
4.0,90.0,0.28800000000000003,0.02057788952966849
4.0,90.0,0.29,0.02991921051144993
4.0,90.0,0.292,0.041980961907873905
4.0,90.0,0.294,0.057083298792651706
4.0,90.0,0.296,0.07549056449485836
4.0,90.0,0.298,0.097402999210973
4.0,90.0,0.3,0.12295291893356358
4.0,90.0,0.302,0.1522047250299432
4.0,90.0,0.304,0.18515794721697817
4.0,90.0,0.306,0.22175250058234805
4.0,90.0,0.308,0.2618754006082533
4.0,90.0,0.31,0.30536828890587997
4.0,90.0,0.312,0.35203524808320774
4.0,90.0,0.314,0.4016505084914067
4.0,90.0,0.316,0.45396576200869615
4.0,90.0,0.318,0.5087168935632039
4.0,90.0,0.32,0.5656300184340187
4.0,90.0,0.322,0.6244267733315058
4.0,90.0,0.324,0.6848288538117564
4.0,90.0,0.326,0.7465618221550375
4.0,90.0,0.328,0.8093582309106955
4.0,90.0,0.33,0.8729601201737502
4.0,90.0,0.332,0.9371209533091189
4.0,90.0,0.334,1.0016070579458007
4.0,90.0,0.336,1.0661986379718935
4.0,90.0,0.338,1.130690419028418
4.0,90.0,0.34,1.194891985433124
4.0,90.0,0.342,1.2586278611663173
4.0,90.0,0.34400000000000003,1.32173738195485
4.0,90.0,0.34600000000000003,1.3840743999033025
4.0,90.0,0.34800000000000003,1.4455068567481917
4.0,90.0,0.35000000000000003,1.5059162567814373
4.0,90.0,0.352,1.5651970658775416
4.0,90.0,0.354,1.623256058898997
4.0,90.0,0.356,1.6800116340523101
4.0,90.0,0.358,1.7353931095099586
4.0,90.0,0.36,1.7893400147765686
4.0,90.0,0.362,1.841801386828607
4.0,90.0,0.364,1.8927350789603425
4.0,90.0,0.366,1.9421070884880576
4.0,90.0,0.368,1.9898909079636171
4.0,90.0,0.37,2.036066903293327
4.0,90.0,0.372,2.080621721116606
4.0,90.0,0.374,2.1235477269424083
4.0,90.0,0.376,2.1648424748434563
4.0,90.0,0.378,2.2045082089456467
4.0,90.0,0.38,2.242551396502147
4.0,90.0,0.382,2.2789822919905136
4.0,90.0,0.384,2.3138145314010305
4.0,90.0,0.386,2.347064755681829
4.0,90.0,0.388,2.3787522621597113
4.0,90.0,0.39,2.408898682654688
4.0,90.0,0.392,2.4375276869429725
4.0,90.0,0.394,2.4646647101901014
4.0,90.0,0.396,2.4903367029670633
4.0,90.0,0.398,2.5145719024727193
4.0,90.0,0.4,2.5373996236111096
4.0,90.0,0.402,2.5588500686089652
4.0,90.0,0.404,2.578954153903975
4.0,90.0,0.406,2.597743353085789
4.0,90.0,0.40800000000000003,2.6152495547270984
4.0,90.0,0.41000000000000003,2.6315049340003016
4.0,90.0,0.41200000000000003,2.646541837034535
4.0,90.0,0.41400000000000003,2.660392677027492
4.0,90.0,0.41600000000000004,2.6730898411855293
4.0,90.0,0.418,2.6846656076234248
4.0,90.0,0.42,2.6951520714115187
4.0,90.0,0.422,2.704581079012261
4.0,90.0,0.424,2.712984170400275
4.0,90.0,0.426,2.7203925282098056
4.0,90.0,0.428,2.726836933300623
4.0,90.0,0.43,2.732347726178137
4.0,90.0,0.432,2.7369547737456785
4.0,90.0,0.434,2.740687440906515
4.0,90.0,0.436,2.743574566570345
4.0,90.0,0.438,2.745644443653859
4.0,90.0,0.44,2.746924802697397
4.0,90.0,0.442,2.7474427987500247
4.0,90.0,0.444,2.747225001203606
