tta_condition,d_condition,is_go_decision,RT,subj_id
2.0,60.0,0.0006476357136678358,0.5188149503498538,129
2.0,70.0,0.0010038714006537631,0.527312584550832,129
2.0,80.0,0.001545084935493003,0.5360411751712928,129
2.0,90.0,0.002359557976915166,0.5449564075893241,129
2.0,100.0,0.003572475971036393,0.5540045229345927,129
2.0,110.0,0.005358045448472386,0.5631223549189346,129
2.0,120.0,0.007953619096585722,0.5722376503630106,129
2.0,130.0,0.011674981667163693,0.5812696602529017,129
2.0,140.0,0.016931124270314495,0.5901299311013231,129
2.0,150.0,0.024235806896963474,0.5987234122299755,129
2.0,160.0,0.03421210313030433,0.6069495231796996,129
2.0,170.0,0.04758520735220022,0.6147032111115961,129
2.0,180.0,0.06515846116610201,0.6218763619899467,129
2.5,60.0,0.0015371261255114875,0.5428271986852176,129
2.5,70.0,0.0023767600782352767,0.5532380060708859,129
2.5,80.0,0.003645358000340483,0.5639531436500083,129
2.5,90.0,0.005540704847627308,0.5749032866969572,129
2.5,100.0,0.008337247330526432,0.5860033748804956,129
2.5,110.0,0.012406569867388955,0.5971526288337285,129
2.5,120.0,0.018237746460532278,0.6082340264257073,129
2.5,130.0,0.02645376520525092,0.6191162409480248,129
2.5,140.0,0.03781831922661642,0.6296545946938118,129
2.5,150.0,0.0532256563414062,0.6396931427557746,129
2.5,160.0,0.07366540439628569,0.6490666125544425,129
2.5,170.0,0.1001553945870359,0.657602885600977,129
2.5,180.0,0.13363920126188142,0.6651252801927895,129
3.0,60.0,0.003573530239105543,0.5704772746089012,129
3.0,70.0,0.005489554329470172,0.5829458359725717,129
3.0,80.0,0.0083519697027297,0.5957405307027749,129
3.0,90.0,0.012570088012129346,0.6087486674020127,129
3.0,100.0,0.01869121429802327,0.6218333072521349,129
3.0,110.0,0.02742281351767399,0.6348324411819912,129
3.0,120.0,0.03964330721288466,0.6475608191886457,129
3.0,130.0,0.056391383382318354,0.6598114780536655,129
3.0,140.0,0.0788222934336507,0.6713592424580479,129
3.0,150.0,0.10812066461455878,0.6819637957959895,129
3.0,160.0,0.14536477007584928,0.691373944843369,129
3.0,170.0,0.19134750297867356,0.6993322497592084,129
3.0,180.0,0.24637400604455642,0.7055805165861014,129
3.5,60.0,0.008129696572334769,0.6025106038321635,129
3.5,70.0,0.012354188262702563,0.6171291895713266,129
3.5,80.0,0.018553879964102057,0.6319962633666051,129
3.5,90.0,0.027497740595035704,0.6469279947820745,129
3.5,100.0,0.04015408165504296,0.6617042748870213,129
3.5,110.0,0.05768221327694918,0.6760714087117093,129
3.5,120.0,0.08138394494349205,0.6897449307627956,129
3.5,130.0,0.11260032730581715,0.7024139242891135,129
3.5,140.0,0.1525455861691959,0.7137470175535439,129
3.5,150.0,0.20208416984145508,0.7233994190272294,129
3.5,160.0,0.26147759524880343,0.7310214578870816,129
3.5,170.0,0.3301506471065827,0.7362690942021547,129
3.5,180.0,0.4065430157658669,0.7388176569762193,129
4.0,60.0,0.018015649596716535,0.6394427764980257,129
4.0,70.0,0.026943424497030348,0.656115904370436,129
4.0,80.0,0.03970921784287823,0.6727842377040844,129
4.0,90.0,0.05756975108755788,0.689153487954701,129
4.0,100.0,0.08195452928199384,0.7048835491241687,129
4.0,110.0,0.11435160269592479,0.7195935308775057,129
4.0,120.0,0.1561159011205266,0.7328697841753719,129
4.0,130.0,0.2082049886512201,0.7442744428005966,129
4.0,140.0,0.2708745414824562,0.7533576356940345,129
4.0,150.0,0.34339698845528893,0.7596730510147718,129
4.0,160.0,0.4238898467947174,0.7627980578135023,129
4.0,170.0,0.5093398089123651,0.7623600989783009,129
4.0,180.0,0.5958734040918696,0.7580707530382277,129
4.5,60.0,0.03858277746749504,0.6813098252781696,129
4.5,70.0,0.05642234493090164,0.6995513846865019,129
4.5,80.0,0.08101373304245521,0.7172491157754354,129
4.5,90.0,0.11398154556939419,0.7339568859475227,129
4.5,100.0,0.15682574877538372,0.7491781258049957,129
4.5,110.0,0.2106204660944947,0.7623780092531077,129
4.5,120.0,0.2756586300179026,0.7729997099535298,129
4.5,130.0,0.3511188533692668,0.7804855367451468,129
4.5,140.0,0.4348626986642922,0.7843049135502494,129
4.5,150.0,0.5234717255061166,0.783991262232312,129
4.5,160.0,0.6125878195998229,0.7791894341096428,129
4.5,170.0,0.6975298741460519,0.7697133570389558,129
4.5,180.0,0.7740542659479659,0.755609198606168,129
5.0,60.0,0.0789430763376525,0.7272038655244892,129
5.0,70.0,0.11197844875448817,0.7458463297115333,129
5.0,80.0,0.15528056834237894,0.762993332145178,129
5.0,90.0,0.2100616582927178,0.778011456197633,129
5.0,100.0,0.27669537660109245,0.7902319226869585,129
5.0,110.0,0.354328189683093,0.7989784299699042,129
5.0,120.0,0.44063638273812256,0.8036045618051967,129
5.0,130.0,0.531864361922502,0.8035430497022642,129
5.0,140.0,0.6232246203450734,0.7983684761328764,129
5.0,150.0,0.70962512207639,0.7878721678934056,129
5.0,160.0,0.7865551951142035,0.772141898008837,129
5.0,170.0,0.8508723383760842,0.7516294415547186,129
5.0,180.0,0.901246132760746,0.7271788072742017,129
5.5,60.0,0.15197370509938835,0.77456688402347,129
5.5,70.0,0.20712353206353032,0.7914057162175451,129
5.5,80.0,0.2746818618564806,0.8052669077856146,129
5.5,90.0,0.3538245703377996,0.8153508818556762,129
5.5,100.0,0.4421156888583018,0.8208903133450282,129
5.5,110.0,0.5355329161948731,0.821213311206771,129
5.5,120.0,0.6289134264812207,0.8158224811168794,129
5.5,130.0,0.7167828511714645,0.8044873480252075,129
