tta_condition,d_condition,is_turn_decision,RT,loss,subj_id
4.0,90.0,0.0481330297510108,0.7531567004966957,0.5667384936567521,129
4.0,150.0,0.33414745187406586,0.8275241944611104,0.5667384936567521,129
4.0,120.0,0.14236085096879378,0.7987729264696987,0.5667384936567521,129
5.0,90.0,0.19517007581012344,0.8431748492793276,0.5667384936567521,129
5.0,150.0,0.7192713977072527,0.8545661097054102,0.5667384936567521,129
5.0,120.0,0.4346067603314556,0.8709282728604536,0.5667384936567521,129
6.0,90.0,0.5334300988396493,0.9041893504644324,0.5667384936567521,129
6.0,150.0,0.9560547381661574,0.7780919984201504,0.5667384936567521,129
6.0,120.0,0.8103469463169394,0.8663963230075554,0.5667384936567521,129
4.0,90.0,0.01680944976548054,0.5520424418991069,0.3294891118904164,389
4.0,150.0,0.4511613326991278,0.6417228534160129,0.3294891118904164,389
4.0,120.0,0.11176796929363447,0.6027371863471982,0.3294891118904164,389
5.0,90.0,0.05592663649316278,0.5884747817134856,0.3294891118904164,389
5.0,150.0,0.7624284037855588,0.6492430032805637,0.3294891118904164,389
5.0,120.0,0.2961315319080684,0.6450241754503396,0.3294891118904164,389
6.0,90.0,0.1660837121774149,0.6329513406431947,0.3294891118904164,389
6.0,150.0,0.94053314510593,0.6115668924980586,0.3294891118904164,389
6.0,120.0,0.5962898702371037,0.6699488825350564,0.3294891118904164,389
4.0,90.0,0.16533023441474426,0.39308740056871183,0.2222080499902061,525
4.0,150.0,0.5112689887141632,0.4281792775031701,0.2222080499902061,525
4.0,120.0,0.3121325035264756,0.4167929326895978,0.2222080499902061,525
5.0,90.0,0.3724070756831825,0.4327874880325036,0.2222080499902061,525
5.0,150.0,0.7800834519447668,0.4233772826215849,0.2222080499902061,525
5.0,120.0,0.5855172381738265,0.4395011242939267,0.2222080499902061,525
6.0,90.0,0.6512890155250918,0.4449994870921724,0.2222080499902061,525
6.0,150.0,0.9298418347394416,0.3791721411352037,0.2222080499902061,525
6.0,120.0,0.8286279514565096,0.4197491302279125,0.2222080499902061,525
4.0,90.0,0.004927713918660826,0.5669030845262933,0.21476233301429992,616
4.0,150.0,0.212432502200505,0.6590890848698719,0.21476233301429992,616
4.0,120.0,0.03834464250526856,0.6105922784975762,0.21476233301429992,616
5.0,90.0,0.02363939313066719,0.6038115158684395,0.21476233301429992,616
5.0,150.0,0.5518355113429182,0.6956136270435698,0.21476233301429992,616
5.0,120.0,0.15250737447217405,0.6609222708087286,0.21476233301429992,616
6.0,90.0,0.10066410892989744,0.6544193387522891,0.21476233301429992,616
6.0,150.0,0.8807755156103032,0.6779521328522101,0.21476233301429992,616
6.0,120.0,0.4455018872968645,0.7063812232039832,0.21476233301429992,616
4.0,90.0,0.03688010170511051,0.5469467019371053,0.6190283494008411,618
4.0,150.0,0.4007909136276205,0.6336689579616055,0.6190283494008411,618
4.0,120.0,0.145312224432911,0.6031238992374044,0.6190283494008411,618
5.0,90.0,0.13405363658185024,0.6278616263802389,0.6190283494008411,618
5.0,150.0,0.7468860231456051,0.6534080616144968,0.6190283494008411,618
5.0,120.0,0.3965868564258168,0.6717134973327016,0.6190283494008411,618
6.0,90.0,0.3739447316764832,0.7013417964227291,0.6190283494008411,618
6.0,150.0,0.9529506293517672,0.5892868065130656,0.6190283494008411,618
6.0,120.0,0.7402733770816742,0.6880054279791742,0.6190283494008411,618
4.0,90.0,0.04113486833518964,0.5829928693116166,0.5762920387512236,642
4.0,150.0,0.6193732996108837,0.6766237980206761,0.5762920387512236,642
4.0,120.0,0.21697153273296135,0.6596007908905428,0.5762920387512236,642
5.0,90.0,0.062469913066001866,0.6188602703747755,0.5762920387512236,642
5.0,150.0,0.7509605970165398,0.6960800222454046,0.5762920387512236,642
5.0,120.0,0.30758046701807473,0.7035789842899629,0.5762920387512236,642
6.0,90.0,0.0921845548656907,0.6554185312378801,0.5762920387512236,642
6.0,150.0,0.8492305101977463,0.6946200334839012,0.5762920387512236,642
6.0,120.0,0.4119027611190452,0.7401227381713636,0.5762920387512236,642
4.0,90.0,0.10939942460223137,0.5348450017635568,0.6374917499481451,755
4.0,150.0,0.7809077847107866,0.5701256026119139,0.6374917499481451,755
4.0,120.0,0.387848436008895,0.5795102516330323,0.6374917499481451,755
5.0,90.0,0.15568226594235207,0.5546688996517083,0.6374917499481451,755
5.0,150.0,0.8604667022635176,0.5621164983644296,0.6374917499481451,755
5.0,120.0,0.4976627157104181,0.5947343684286801,0.6374917499481451,755
6.0,90.0,0.21551998270763426,0.5737939663433318,0.6374917499481451,755
6.0,150.0,0.91161828375186,0.5468124298061305,0.6374917499481451,755
6.0,120.0,0.6064429958626516,0.601998935038228,0.6374917499481451,755
