subj_id,tta,d,loss,alpha,beta,theta,b,ndt_location,ndt_scale
129,NA,NA,0.6252036601183947,1.2882230209210668,0.024961829944707553,8.1535227628238,0.6286351072488234,0.49045024511328955,0.09949435893018443
280,NA,NA,1.283971448098815,5.0,0.28907077404676274,47.9897888946792,0.18429853120566708,0.6667812050007204,0.11348160509185368
389,NA,NA,0.28374875670734806,4.99315380153427,0.05156352328110424,11.843761353162671,0.12569234450325206,0.618106498069333,0.14023716424456886
421,NA,NA,0.7517562924187186,0.6114479435527791,0.07604683165736227,14.342695343544236,0.447445057367017,0.3671295893518497,0.08528350274772188
525,NA,NA,0.20026499023614985,1.2591384879368375,0.02526935446603167,7.721196277419938,0.4595066369208065,0.2219285224511081,0.08391936274608636
616,NA,NA,0.20973621219574456,1.864904157910706,0.04250709290291835,11.222130612332464,0.4217105699218542,0.5185843706800989,0.09273651910894212
618,NA,NA,0.6229428792978866,4.829379282156501,0.03453219610351329,9.375883201944255,0.1640492417287862,0.6073267192124333,0.2584751708266629
642,NA,NA,0.5359720853240509,1.8444696060273975,0.12586995993762376,21.738150500302336,0.12584174063314002,0.6510606886600273,0.2483247068799436
652,NA,NA,0.6263778702105733,2.5557983044629276,0.01508654414544465,7.589357304467336,0.34894957641856106,0.7936300396015807,0.16288025165913997
755,NA,NA,0.6419566144574941,0.8855704225925077,0.1422563433678615,21.978799342805615,0.2260153358737793,0.5085577311651204,0.13063812138003802
776,NA,NA,0.45691463043044306,3.357409400949109,0.037410770926914444,8.76019899971946,0.2642902029467984,0.5068578557689654,0.1318145346490083
853,NA,NA,0.1744449834241545,1.246014011698364,0.058194412416537375,14.0035504105602,0.4299030559308652,0.48784586949983577,0.017648334495143466
913,NA,NA,0.3124658477637848,4.627886239587518,0.013409662699684645,6.217613592706589,0.20208668293260423,0.5100680744205539,0.11190903407420508
969,NA,NA,0.29911459624524434,4.005661388306565,0.40256550696234955,52.766043977692625,0.13906725426231548,0.5155332287643882,0.10996429121976299
980,NA,NA,0.8614167888834845,0.2377843384610879,0.23070893372747714,14.444012015661292,0.10252051561447262,0.5629637023710693,0.21131567788416916
