d_condition,tta_condition,RT
90.0,4.0,
90.0,5.0,0.5131179999999995
90.0,6.0,0.7085090002182157
120.0,4.0,0.5154445000312089
120.0,5.0,0.6266474284428669
120.0,6.0,0.6679282857142858
150.0,4.0,0.5242920000000002
150.0,5.0,0.6448071413229275
150.0,6.0,0.6209337154174386
