subj_id,tta_condition,d_condition,loss,alpha,beta,theta,b_0,k,tta_crit,ndt_location,ndt_scale
129,NA,NA,0.3978962004187189,1.4457153610455489,0.018780901048367212,6.675462223965732,1.3733599775447423,1.361494281431597,3.8349555164366427,0.2569122017084622,0.04886859260535689
280,NA,NA,0.8386604466383863,2.460939873285651,0.2274978233497876,35.257221160534314,4.880995319202331,0.5525513380640271,4.710914810183275,0.29109834303629645,0.047780350142656164
389,NA,NA,0.28088017812688293,2.0202506640030227,0.05475776626887811,12.084201473389944,0.5947704459859122,0.11188191533325666,3.113009561805565,0.4758827071449876,0.12699985383623022
421,NA,NA,0.42342246983293785,0.232234311744131,0.1657131175203873,23.842418322493575,1.0660003024202414,0.16354153047882947,3.7146648634387036,0.22112209876896738,0.021370800353330277
525,NA,NA,0.33031126279558337,1.1701264555709354,0.026556837701273404,7.510016735848448,1.0398937570935696,0.10507027902982868,4.161901520673652,0.13380683315910719,0.08199017229719013
616,NA,NA,0.21431472150497025,2.0211712758263123,0.03992154802457335,10.59363848344389,0.9224801740778986,0.2635908873018175,5.692621708237435,0.4712326667411116,0.10819400036348878
618,NA,NA,0.5453131941883572,1.1848658800452165,0.03029235508611562,8.007894868911078,1.4019788751847995,0.6600151904600037,3.433162307074847,0.11937999256653502,0.050364561683437926
642,NA,NA,0.5383571811864387,0.4133009015200424,0.12823469760250944,20.569473354119832,1.1395817311706438,0.24336797614893824,3.2685276733164876,0.2927029708970863,0.16033637196041498
652,NA,NA,0.6514864157063492,1.5204608579476904,0.013625345880176276,6.791631516097482,1.5304299985378196,0.10868020438328596,4.717059830920469,0.5184454483399638,0.1025296576562669
755,NA,NA,0.5301549357686768,0.41276375143057364,0.16295262664296828,23.520531325520395,1.1902332025854236,0.369459697523959,5.741558137909205,0.31313827015755824,0.09206911910070979
776,NA,NA,0.3870211392368564,2.715568987992004,0.035034039761169145,8.317442674990833,0.5244336973105441,1.9299169110395993,3.7661708298990675,0.3707378360924517,0.11375312628817474
827,NA,NA,0.7632358009975371,3.0,0.022843565727229048,6.880079905718936,0.5856825334357882,0.26855321115554315,5.148368683310745,0.40678114826234346,0.17188202221783383
853,NA,NA,0.2853651003015491,0.6716389824950989,0.1107887212498839,20.41876612110931,0.967957984289781,0.1011002473154089,3.075949375815923,0.37875874970812806,0.006643640112470833
913,NA,NA,0.32546105754003096,2.241620360799975,0.013329835757818277,6.061775981102592,0.9252427291868313,0.19218800884465465,5.417341012251876,0.3292975612235864,0.06946121480142604
969,NA,NA,0.08115330872040323,2.985008600868457,0.11963382935563305,18.898058826122092,0.5314799923373856,1.9985232625984408,4.539504798986213,0.3927090569015317,0.0905715460632949
996,NA,NA,0.9979224258326771,1.320810734641507,0.02849054777623878,7.383808706018247,1.2442233841918362,0.3629727365421368,5.517337038911774,0.2628413106121748,0.08404081767549611
all,NA,NA,0.07427320663680972,1.1500940340660128,0.041908711377752775,9.826420565353043,1.0472234913988234,0.2784592724649697,5.220638276143953,0.36199049706731634,0.05513697921245042
