tta_condition,d_condition,is_turn_decision,RT,loss,subj_id
4.0,90.0,0.045298433255426485,0.7826301354232518,0.5981528147523698,129
4.0,150.0,0.3455606208321204,0.8419246972179975,0.5981528147523698,129
4.0,120.0,0.14325152731995533,0.8225251453430318,0.5981528147523698,129
5.0,90.0,0.19427238536621347,0.8595094799742184,0.5981528147523698,129
5.0,150.0,0.7255249520396484,0.8452250362758144,0.5981528147523698,129
5.0,120.0,0.4404914045061825,0.8732067988644145,0.5981528147523698,129
6.0,90.0,0.5277470583832976,0.8923524187595373,0.5981528147523698,129
6.0,150.0,0.949148648588386,0.7641634969075343,0.5981528147523698,129
6.0,120.0,0.8019939881293363,0.8468561979312033,0.5981528147523698,129
4.0,90.0,0.006799716225803674,0.6666589190435432,0.2844058835383609,389
4.0,150.0,0.4612169483008912,0.6486856801581727,0.2844058835383609,389
4.0,120.0,0.09744866069039863,0.6691354469777434,0.2844058835383609,389
5.0,90.0,0.042530886203801584,0.6748782490563223,0.2844058835383609,389
5.0,150.0,0.7625382098557802,0.6229015349230768,0.2844058835383609,389
5.0,120.0,0.3042527473109292,0.663106565902744,0.2844058835383609,389
6.0,90.0,0.16519851103109906,0.6733974859151559,0.2844058835383609,389
6.0,150.0,0.9331803357247199,0.5862106382621313,0.2844058835383609,389
6.0,120.0,0.6030767250263018,0.643867862304652,0.2844058835383609,389
4.0,90.0,0.15648845545568354,0.4353272653946596,0.20028000859513267,525
4.0,150.0,0.5142074359688104,0.4263752156796207,0.20028000859513267,525
4.0,120.0,0.3114313046067985,0.4364088140481107,0.20028000859513267,525
5.0,90.0,0.3750076894397916,0.4400413214042364,0.20028000859513267,525
5.0,150.0,0.776547515884723,0.3997966196042008,0.20028000859513267,525
5.0,120.0,0.5869480123832814,0.4255787926278672,0.20028000859513267,525
6.0,90.0,0.6492171944699469,0.42222198883096895,0.20028000859513267,525
6.0,150.0,0.92866506371459,0.35673309697222083,0.20028000859513267,525
6.0,120.0,0.8233133873820266,0.39281459098460336,0.20028000859513267,525
4.0,90.0,0.003963090004578374,0.5864737356658035,0.2080598534619616,616
4.0,150.0,0.2085743850818166,0.666538713433292,0.2080598534619616,616
4.0,120.0,0.03453641708655182,0.6250073951551369,0.2080598534619616,616
5.0,90.0,0.02125962707677636,0.6188887552466817,0.2080598534619616,616
5.0,150.0,0.5534921715621648,0.6893141680928471,0.2080598534619616,616
5.0,120.0,0.14927874168626812,0.6667534162834713,0.2080598534619616,616
6.0,90.0,0.09889747359032787,0.6610852675708062,0.2080598534619616,616
6.0,150.0,0.8727145470266617,0.6655601197155699,0.2080598534619616,616
6.0,120.0,0.4479991601720748,0.6963659711707216,0.2080598534619616,616
4.0,90.0,0.03308144363276248,0.5695719924040599,0.6695652287219624,618
4.0,150.0,0.4043167023092032,0.6391364046827894,0.6695652287219624,618
4.0,120.0,0.14190617528111396,0.6193640663149621,0.6695652287219624,618
5.0,90.0,0.13156788653467869,0.6430566457831556,0.6695652287219624,618
5.0,150.0,0.7484041282540341,0.6382745590258896,0.6695652287219624,618
5.0,120.0,0.3996945224942656,0.6703397230283213,0.6695652287219624,618
6.0,90.0,0.3754665694932445,0.6928958426030434,0.6695652287219624,618
6.0,150.0,0.9458656248175484,0.5676914592688297,0.6695652287219624,618
6.0,120.0,0.7361521076227082,0.6620693814224079,0.6695652287219624,618
4.0,90.0,0.0333621649257255,0.7274576567806299,0.4675950223776551,642
4.0,150.0,0.6351566502893885,0.6630524478658831,0.4675950223776551,642
4.0,120.0,0.22498555628454328,0.7201956110947848,0.4675950223776551,642
5.0,90.0,0.054364777096162775,0.7433324960283553,0.4675950223776551,642
5.0,150.0,0.7433912824392023,0.6519592349783738,0.4675950223776551,642
5.0,120.0,0.3136754280479473,0.7262800124772739,0.4675950223776551,642
6.0,90.0,0.08132843264865243,0.7531496825752532,0.4675950223776551,642
6.0,150.0,0.8197437230114234,0.6360656396772701,0.4675950223776551,642
6.0,120.0,0.4014918893930766,0.7253937293217458,0.4675950223776551,642
4.0,90.0,0.09639315027796014,0.5760067284408579,0.6197332449543606,755
4.0,150.0,0.7878763869269144,0.5490619937708668,0.6197332449543606,755
4.0,120.0,0.39745211753910575,0.5720977056362939,0.6197332449543606,755
5.0,90.0,0.1505710574874073,0.5780036639485252,0.6197332449543606,755
5.0,150.0,0.8618615395182939,0.5409150733565395,0.6197332449543606,755
5.0,120.0,0.5096814940502051,0.5689050615558422,0.6197332449543606,755
6.0,90.0,0.2209712909997637,0.5783781008996342,0.6197332449543606,755
6.0,150.0,0.9136650292624052,0.5321278213202303,0.6197332449543606,755
6.0,120.0,0.6177357799859349,0.5640346215549128,0.6197332449543606,755
