tta_condition,d_condition,is_turn_decision,RT,loss,subj_id
4.0,90.0,0.04806909402163225,0.7520247237114364,0.5650652436598609,129
4.0,150.0,0.33407650154219604,0.8266640071192481,0.5650652436598609,129
4.0,120.0,0.14207749496867497,0.7973452775938771,0.5650652436598609,129
5.0,90.0,0.19501665195842044,0.8398828424318899,0.5650652436598609,129
5.0,150.0,0.7202212214527189,0.8534651042053913,0.5650652436598609,129
5.0,120.0,0.4347427601462589,0.8683034563658326,0.5650652436598609,129
6.0,90.0,0.5342562786983089,0.9001813828116435,0.5650652436598609,129
6.0,150.0,0.9564881346250936,0.7784767435429869,0.5650652436598609,129
6.0,120.0,0.8114459880382761,0.8642589732717387,0.5650652436598609,129
4.0,90.0,0.015776552301805517,0.5728545752052344,0.3110240514161217,389
4.0,150.0,0.454852615629745,0.6383802059757525,0.3110240514161217,389
4.0,120.0,0.1069952421595794,0.6075977523140443,0.3110240514161217,389
5.0,90.0,0.054005540378980366,0.5957771283246903,0.3110240514161217,389
5.0,150.0,0.7679423883879475,0.6388902959054357,0.3110240514161217,389
5.0,120.0,0.2945573883969997,0.6360968910642231,0.3110240514161217,389
6.0,90.0,0.16636145541589095,0.6250786436380605,0.3110240514161217,389
6.0,150.0,0.9363264383614464,0.6096662715903005,0.3110240514161217,389
6.0,120.0,0.6034113065753972,0.6505758231035778,0.3110240514161217,389
4.0,90.0,0.16328626143859098,0.3928029313348709,0.21125531367966996,525
4.0,150.0,0.5138515074456189,0.4235573268359095,0.21125531367966996,525
4.0,120.0,0.3114648725645958,0.4134513180256687,0.21125531367966996,525
5.0,90.0,0.3718021175775088,0.4249898637618892,0.21125531367966996,525
5.0,150.0,0.7809661183480714,0.4166651124197664,0.21125531367966996,525
5.0,120.0,0.5867356213834719,0.4306319707860791,0.21125531367966996,525
6.0,90.0,0.6520315148157088,0.4332222759832156,0.21125531367966996,525
6.0,150.0,0.9275714796867791,0.3794401636441396,0.21125531367966996,525
6.0,120.0,0.8277639933832522,0.4119747423936662,0.21125531367966996,525
4.0,90.0,0.004978490153651925,0.5855566383053644,0.20841002736878075,616
4.0,150.0,0.2111978736857809,0.6639297952578622,0.20841002736878075,616
4.0,120.0,0.037757330838202624,0.6211451622012778,0.20841002736878075,616
5.0,90.0,0.02360311965342234,0.6145745407284903,0.20841002736878075,616
5.0,150.0,0.5534063353596987,0.6944195096677374,0.20841002736878075,616
5.0,120.0,0.15109343484896454,0.6627693308329039,0.20841002736878075,616
6.0,90.0,0.10058562924466936,0.6557059697053064,0.20841002736878075,616
6.0,150.0,0.8793114042128548,0.676694481385299,0.20841002736878075,616
6.0,120.0,0.4461217411182923,0.7008101650242579,0.20841002736878075,616
4.0,90.0,0.03611340038204406,0.5473205064056673,0.6178981375609799,618
4.0,150.0,0.4008870582278877,0.6347791546653381,0.6178981375609799,618
4.0,120.0,0.14374629852894122,0.6030382773864312,0.6178981375609799,618
5.0,90.0,0.1326552258530171,0.6252615083190535,0.6178981375609799,618
5.0,150.0,0.7499152417097409,0.6536696590015499,0.6178981375609799,618
5.0,120.0,0.3963290097735205,0.6698660584993137,0.6178981375609799,618
6.0,90.0,0.3740613747256213,0.6969225517561297,0.6178981375609799,618
6.0,150.0,0.9546413398798352,0.5901992049905204,0.6178981375609799,618
6.0,120.0,0.7432474639369953,0.6856272130516461,0.6178981375609799,618
4.0,90.0,0.044877015810518256,0.5928942131557237,0.5375290157015843,642
4.0,150.0,0.6246114501478445,0.6795977169774328,0.5375290157015843,642
4.0,120.0,0.22181228580392515,0.6574280720564233,0.5375290157015843,642
5.0,90.0,0.06724989422677799,0.6167000363975031,0.5375290157015843,642
5.0,150.0,0.7467247035380892,0.6888282514452938,0.5375290157015843,642
5.0,120.0,0.30998135805015997,0.6867107961785389,0.5375290157015843,642
6.0,90.0,0.09856996435971346,0.6414739600020266,0.5375290157015843,642
6.0,150.0,0.8389243399882759,0.6830653475571723,0.5375290157015843,642
6.0,120.0,0.41217653245051017,0.7107201783326427,0.5375290157015843,642
4.0,90.0,0.10842726465274934,0.5387434557331154,0.6267871498492807,755
4.0,150.0,0.7860769713781613,0.5674621607449822,0.6267871498492807,755
4.0,120.0,0.3906374721379056,0.5759512234176024,0.6267871498492807,755
5.0,90.0,0.1553444552674083,0.5535317243124831,0.6267871498492807,755
5.0,150.0,0.8605579547106136,0.5586462773752888,0.6267871498492807,755
5.0,120.0,0.5005676017206802,0.5859457341006539,0.6267871498492807,755
6.0,90.0,0.216707936613682,0.5678592636613318,0.6267871498492807,755
6.0,150.0,0.909522893189458,0.5456556359381575,0.6267871498492807,755
6.0,120.0,0.6094481347255556,0.5895940144163769,0.6267871498492807,755
